file_name,compound_name,A,B,C,Ae,Be,Ce,De,Ee,Fe,Ge,Density,Volume,T_boil
"PVAP_((1,1-dimethylethoxy)methyl)oxirane.tab","((1,1-dimethylethoxy)methyl)oxirane",14.88692186,4309.86217902,-48.98688898,70.5611795,-9715.12781665,0.0,0.0,-7.50990961,213660.0,-2.0,0.93608176,0.23093948,468.70008523183236
PVAP_((1-methylethyl)thio)benzene.tab,((1-methylethyl)thio)benzene,15.37581535,4914.96885132,-45.11384623,80.85873969,-11344.92739637,0.0,0.0,-8.82309678,303790.0,-2.0,0.99435846,0.25426461,502.00224913217306
"PVAP_(+)-(1'r,2's,4's)-(e)-beta-santalol.tab","(+)-(1'r,2's,4's)-(e)-beta-santalol",15.36053644,5456.55479308,-88.76286834,50.38349719,-7096.52518211,0.0,0.0,-4.97777138,-796940.0,-2.0,0.94035444,0.38911165,596.7177689511097
"PVAP_(+)-(1'r,2's,4's)-beta-santalol.tab","(+)-(1'r,2's,4's)-beta-santalol",15.4096258,5468.36174215,-88.64670072,50.57503071,-7124.90554166,0.0,0.0,-4.99660871,-795340.0,-2.0,0.93342078,0.39200205,595.3850434670013
"PVAP_(+)-(1'r,3's,6's)-3'-methyl-norlimbanol.tab","(+)-(1'r,3's,6's)-3'-methyl-norlimbanol",15.93320726,5812.31940932,-81.93555419,56.56516727,-8346.58696667,0.0,0.0,-5.68219523,-637950.0,-2.0,0.86911381,0.45936114,595.6239403248919
PVAP_(+)-(14r)-14-methyl-15-pentadecanolide.tab,(+)-(14r)-14-methyl-15-pentadecanolide,16.64800747,7462.78774998,-38.9765057,104.80820258,-16197.64861014,0.0,0.0,-11.86777085,444040.0,-2.0,0.93410407,0.45225937,659.3414104705164
"PVAP_(+)-(1r,2r)-2-tert-butylcyclohexyl_acetate.tab","(+)-(1r,2r)-2-tert-butylcyclohexyl_acetate",15.71235383,5415.02890364,-44.88017984,88.3274668,-12552.08667623,0.0,0.0,-9.78312122,342070.0,-2.0,0.9261754,0.35553737,532.9835528931446
"PVAP_(+)-(1r,2s,2'r,4r)-2'-isopropyl-1,7,7-trimethylspiro(bicyclo(2_2_1)heptane-2,4'-(1,3)dioxane).tab","(+)-(1r,2s,2'r,4r)-2'-isopropyl-1,7,7-trimethylspiro(bicyclo(2_2_1)heptane-2,4'-(1,3)dioxane)",16.36071102,6657.98739785,-41.43240573,100.10390761,-14929.3958869,0.0,0.0,-11.27680096,413350.0,-2.0,0.96799894,0.4329652,608.4374437492511
"PVAP_(+)-(1r,3r)-3-methylcyclopentadecanol.tab","(+)-(1r,3r)-3-methylcyclopentadecanol",15.52794737,6264.33170884,-82.69164717,49.03762556,-7861.18408596,0.0,0.0,-4.7574737,-813860.0,-2.0,0.89602333,0.44556554,656.8945103916674
"PVAP_(+)-(1r,3r,4ar,9as)-magnolan.tab","(+)-(1r,3r,4ar,9as)-magnolan",15.83901087,6546.11527994,-41.50180722,89.35170259,-13771.77001567,0.0,0.0,-9.90393844,320340.0,-2.0,1.11777766,0.30345205,624.8993039154874
