,carrier_phase_1_N,carrier_phase_1_W,carrier_phase_1_x,carrier_phase_2_N,carrier_phase_2_W,carrier_phase_2_x,"carrier_Kx(1,2)",solute_phase_1_N,solute_phase_1_W,solute_phase_1_x,solute_phase_2_N,solute_phase_2_W,solute_phase_2_x,"solute_Kx(1,2)",solvent_phase_1_N,solvent_phase_1_W,solvent_phase_1_x,solvent_phase_2_N,solvent_phase_2_W,solvent_phase_2_x,"solvent_Kx(1,2)",COSMO_name,file_name
0,42.37415534,763.38413762,0.98918816,8.5351496,153.7634855,0.52130981,1.89750424,0.28661527,25.81781996,0.00669079,0.82352986,74.18218004,0.05029955,0.13301871,0.176535,22.98231084,0.00412106,7.01382951,913.09944916,0.42839063,0.00961985,"((1,1-dimethylethoxy)methyl)oxirane","LIQEX_((1,1-dimethylethoxy)methyl)oxirane_tc40.0_W1100.0.tab"
1,42.37415534,763.38413762,0.98918816,8.5351496,153.7634855,0.52130981,1.89750424,0.28661527,25.81781996,0.00669079,0.82352986,74.18218004,0.05029955,0.13301871,0.176535,22.98231084,0.00412106,7.01382951,913.09944916,0.42839063,0.00961985,"((1,1-dimethylethoxy)methyl)oxirane","LIQEX_((1,1-dimethylethoxy)methyl)oxirane_tc40_W1100.0.tab"
2,42.71159468,769.46321678,0.98851617,8.19771026,147.68440635,0.46798453,2.11228275,0.38930741,35.06815401,0.00901012,0.72083773,64.93184599,0.04115063,0.21895454,0.10688352,10.70539746,0.00247371,8.59850594,861.22183254,0.49086484,0.00503949,"(+)-(2r,3s)-2,3-methano-1-pentanol","LIQEX_(+)-(2r,3s)-2,3-methano-1-pentanol_tc40.0_W1100.0.tab"
3,42.71159468,769.46321678,0.98851617,8.19771026,147.68440635,0.46798453,2.11228275,0.38930741,35.06815401,0.00901012,0.72083773,64.93184599,0.04115063,0.21895454,0.10688352,10.70539746,0.00247371,8.59850594,861.22183254,0.49086484,0.00503949,"(+)-(2r,3s)-2,3-methano-1-pentanol","LIQEX_(+)-(2r,3s)-2,3-methano-1-pentanol_tc40_W1100.0.tab"
4,50.02617788,901.23780297,0.98235769,0.88312706,15.90982015,0.12041708,8.15816264,0.89435965,80.56240778,0.01756243,0.21578548,19.43759222,0.02942301,0.59690067,0.00406802,0.60315553,7.9883e-05,6.23498934,924.44654447,0.85015991,9.3964e-05,(+)-3s-1-methoxyhexane-3-thiol,LIQEX_(+)-3s-1-methoxyhexane-3-thiol_tc40.0_W1100.0.tab
5,50.02617788,901.23780297,0.98235769,0.88312706,15.90982015,0.12041708,8.15816264,0.89435965,80.56240778,0.01756243,0.21578548,19.43759222,0.02942301,0.59690067,0.00406802,0.60315553,7.9883e-05,6.23498934,924.44654447,0.85015991,9.3964e-05,(+)-3s-1-methoxyhexane-3-thiol,LIQEX_(+)-3s-1-methoxyhexane-3-thiol_tc40_W1100.0.tab
6,50.3219474,906.56618674,0.98035147,0.58735754,10.58143639,0.07555739,12.97553957,0.99556612,89.67891551,0.01939521,0.11457902,10.32108449,0.01473939,1.31590247,0.01300303,1.71932557,0.00025332,7.07172493,935.05864443,0.90970323,0.00027847,(+)-s-methyl_(2s)-2-methylbutanethioate,LIQEX_(+)-s-methyl_(2s)-2-methylbutanethioate_tc40.0_W1100.0.tab
7,50.3219474,906.56618674,0.98035147,0.58735754,10.58143639,0.07555739,12.97553957,0.99556612,89.67891551,0.01939521,0.11457902,10.32108449,0.01473939,1.31590247,0.01300303,1.71932557,0.00025332,7.07172493,935.05864443,0.90970323,0.00027847,(+)-s-methyl_(2s)-2-methylbutanethioate,LIQEX_(+)-s-methyl_(2s)-2-methylbutanethioate_tc40_W1100.0.tab
8,42.41112731,764.05019969,0.98860409,8.49817763,153.09742343,0.47672673,2.07373231,0.37827018,34.07393951,0.00881748,0.73187495,65.92606049,0.04105637,0.21476519,0.11061469,11.07910964,0.00257843,8.59604605,860.97545036,0.4822169,0.00534703,"(-)-(2s,3r)-2,3-methano-1-pentanol","LIQEX_(-)-(2s,3r)-2,3-methano-1-pentanol_tc40.0_W1100.0.tab"
9,42.41112731,764.05019969,0.98860409,8.49817763,153.09742343,0.47672673,2.07373231,0.37827018,34.07393951,0.00881748,0.73187495,65.92606049,0.04105637,0.21476519,0.11061469,11.07910964,0.00257843,8.59604605,860.97545036,0.4822169,0.00534703,"(-)-(2s,3r)-2,3-methano-1-pentanol","LIQEX_(-)-(2s,3r)-2,3-methano-1-pentanol_tc40_W1100.0.tab"
