file_name,COSMO_name,A,B,C,Ae,Be,Ce,De,Ee,Fe,Ge,Density,Volume,T_boil,CAS_Number
"PVAP_((1,1-dimethylethoxy)methyl)oxirane.tab","((1,1-dimethylethoxy)methyl)oxirane",14.88692186,4309.86217902,-48.98688898,70.5611795,-9715.12781665,0.0,0.0,-7.50990961,213660.0,-2.0,0.93608176,0.23093948,468.7000852318324,
"PVAP_(+)-(2r,3s)-2,3-methano-1-pentanol.tab","(+)-(2r,3s)-2,3-methano-1-pentanol",13.86524372,3056.54034915,-106.75373712,37.42674568,-3606.87444169,0.0,0.0,-3.43133897,-704190.0,-2.0,0.87192723,0.19074839,437.3009326891319,
PVAP_(+)-3s-1-methoxyhexane-3-thiol.tab,(+)-3s-1-methoxyhexane-3-thiol,15.4963853,4537.84609449,-49.11400687,82.20648601,-11057.33650118,0.0,0.0,-8.99273407,301760.0,-2.0,0.9250497,0.26615223,466.27013384094926,
PVAP_(+)-s-methyl_(2s)-2-methylbutanethioate.tab,(+)-s-methyl_(2s)-2-methylbutanethioate,14.92092726,3811.62945355,-51.07981936,72.04057063,-9370.36228249,0.0,0.0,-7.70323657,246520.0,-2.0,0.93677797,0.23438289,421.0477537640077,
"PVAP_(-)-(2s,3r)-2,3-methano-1-pentanol.tab","(-)-(2s,3r)-2,3-methano-1-pentanol",13.87567034,3061.86231518,-106.69651974,38.3146486,-3701.21841392,0.0,0.0,-3.54920646,-696430.0,-2.0,0.87205456,0.19072054,437.4463087758928,
"PVAP_(-)-(e,r)-filbertone.tab","(-)-(e,r)-filbertone",14.9461714,4185.0313887,-47.5469245,72.45531609,-9806.40069471,0.0,0.0,-7.75229241,253650.0,-2.0,0.83306356,0.25154734,452.7654510220668,
PVAP_(-)-3r-1-methoxyhexane-3-thiol.tab,(-)-3r-1-methoxyhexane-3-thiol,15.48782047,4522.55937383,-49.76299831,82.17963208,-11030.894916,0.0,0.0,-8.99156339,296140.0,-2.0,0.92195018,0.26704701,465.8414434153341,
PVAP_(-)-s-methyl_(2r)-2-methylbutanethioate.tab,(-)-s-methyl_(2r)-2-methylbutanethioate,14.86941186,3790.46572385,-51.2581788,71.27054104,-9274.6791538,0.0,0.0,-7.60696528,239730.0,-2.0,0.93904711,0.23381653,421.0207998281019,
"PVAP_(1,1,2,2-tetrafluoro-1,2-ethanediyl)bis[trimethyl-silane.tab","(1,1,2,2-tetrafluoro-1,2-ethanediyl)bis[trimethyl-silane",16.0514418,3674.96987249,-55.41966545,87.04952103,-10604.52018059,0.0,0.0,-9.57233263,353040.0,-2.0,0.99809484,0.40992777,376.85191911154857,
"PVAP_(1,1-dimethylethyl)benzene.tab","(1,1-dimethylethyl)benzene",14.91046679,4120.48346682,-45.05886089,72.68945004,-9805.4054809,0.0,0.0,-7.78361244,282510.0,-2.0,0.85250958,0.26143517,445.4115593644526,
"PVAP_(1,1-dimethylethyl)dimethyl(1-methylethyl)-silane.tab","(1,1-dimethylethyl)dimethyl(1-methylethyl)-silane",15.61362007,3416.43816359,-54.03735248,82.32409753,-9948.38194888,0.0,0.0,-8.99145994,346080.0,-2.0,0.72773454,0.36133865,364.7557716938962,
"PVAP_(1,1-dimethylethyl)methoxydimethyl-silane.tab","(1,1-dimethylethyl)methoxydimethyl-silane",15.32657703,3399.54514814,-54.00069917,77.19064396,-9436.39849123,0.0,0.0,-8.34104814,301130.0,-2.0,0.78829951,0.30818568,371.4706030481732,
"PVAP_(1,1-dimethylpropoxy)trimethyl-silane.tab","(1,1-dimethylpropoxy)trimethyl-silane",15.56374875,3630.71820484,-52.76471738,81.45445777,-10078.80952646,0.0,0.0,-8.88136655,330920.0,-2.0,0.79059858,0.33675049,384.47603333115234,
"PVAP_(1,1-dimethylpropyl)benzene.tab","(1,1-dimethylpropyl)benzene",15.1511104,4375.66952442,-44.94172882,77.24745156,-10490.53124838,0.0,0.0,-8.36449758,308310.0,-2.0,0.84584249,0.2910327,460.375325288892,
PVAP_(1-chloroethenyl)benzene.tab,(1-chloroethenyl)benzene,14.83735304,4207.72104439,-46.06623699,71.03123658,-9712.95431128,0.0,0.0,-7.57326448,252760.0,-2.0,1.07216893,0.21465136,457.8201134823943,
PVAP_(1-chloroethyl)trimethylsilane.tab,(1-chloroethyl)trimethylsilane,15.14378673,3272.71203627,-53.74941658,73.33981968,-8948.66475547,0.0,0.0,-7.84687069,278880.0,-2.0,0.86532864,0.26231531,364.6825291908547,
PVAP_(1-methylbutyl)benzene.tab,(1-methylbutyl)benzene,15.31088216,4518.98822279,-45.25102176,80.16794209,-10904.81089497,0.0,0.0,-8.7364848,322580.0,-2.0,0.83988506,0.29309704,467.8806705068933,
PVAP_(1-methylenepropyl)-benzene.tab,(1-methylenepropyl)-benzene,14.94764491,4236.48036486,-45.28928095,73.2176618,-9962.62625763,0.0,0.0,-7.85069838,277620.0,-2.0,0.8783988,0.24991896,455.4308733937235,
PVAP_(1-methylethyl)-cyclopentane.tab,(1-methylethyl)-cyclopentane,14.63368471,3441.54095044,-46.07690086,67.8935623,-8689.11621779,0.0,0.0,-7.17398185,276170.0,-2.0,0.75466833,0.24690942,389.70347627864027,
PVAP_(1-methylvinyl)cyclopropane.tab,(1-methylvinyl)cyclopropane,14.04940558,2823.92398347,-47.91762731,56.43617865,-6976.97910818,0.0,0.0,-5.71262706,202510.0,-2.0,0.74382591,0.18338104,347.34529167917566,
"PVAP_(1e)-1,3-dichloro-1-fluoroprop-1-ene.tab","(1e)-1,3-dichloro-1-fluoroprop-1-ene",14.34269317,3049.63172151,-53.27753401,61.18087161,-7586.53538902,0.0,0.0,-6.31968003,192130.0,-2.0,1.30453339,0.16415429,366.8849819344419,
"PVAP_(1e)-2,2,2-trifluoro-n-(1,1,2,2,2-pentafluoroethyl)ethanimidoylfluoride.tab","(1e)-2,2,2-trifluoro-n-(1,1,2,2,2-pentafluoroethyl)ethanimidoylfluoride",13.87130431,2429.42917713,-48.98183026,53.37691199,-6303.45326601,0.0,0.0,-5.32397023,197390.0,-2.0,1.5824913,0.24452867,311.5384881196468,
PVAP_(1r)-1-(trifluoromethoxy)ethanol.tab,(1r)-1-(trifluoromethoxy)ethanol,13.32333651,2572.32987404,-97.07040401,27.88628252,-2940.11428304,0.0,0.0,-2.11369113,-485750.0,-2.0,1.32728952,0.16272253,392.5705634370494,
PVAP_(1r)-1-chloro-1-methoxyethane.tab,(1r)-1-chloro-1-methoxyethane,14.27646391,3298.50552848,-55.31855937,59.40183394,-7611.28475812,0.0,0.0,-6.0965297,138290.0,-2.0,1.02741128,0.15279991,396.8448461987414,
PVAP_(1r)-1-fluoroethanol.tab,(1r)-1-fluoroethanol,13.66267857,2545.2252823,-109.19066577,40.92920771,-3706.38652263,0.0,0.0,-3.89437928,-546060.0,-2.0,1.05063521,0.10124607,390.6068623482051,
PVAP_(1r)-1-fluoropropan-1-ol.tab,(1r)-1-fluoropropan-1-ol,13.74272197,2645.58808326,-108.17000122,41.11393627,-3801.76793253,0.0,0.0,-3.91049246,-559330.0,-2.0,0.99787159,0.12994109,398.1168833595505,
PVAP_(1s)-1-chloro-1-fluoropropan-2-one.tab,(1s)-1-chloro-1-fluoropropan-2-one,13.91341735,2908.97884851,-60.32394322,53.05058971,-6578.18857439,0.0,0.0,-5.29742036,77972.21511899,-2.0,1.23275139,0.14886598,373.28279253909193,
"PVAP_(1s)-2,2,3,3,3-pentafluoro-1-methoxypropan-1-ol.tab","(1s)-2,2,3,3,3-pentafluoro-1-methoxypropan-1-ol",13.36716215,2591.85622713,-96.32833218,32.44950135,-3446.86493557,0.0,0.0,-2.71624964,-435450.0,-2.0,1.39941426,0.21367473,392.5801201392713,
"PVAP_(1s,2r)-1,2-difluorocyclopentane.tab","(1s,2r)-1,2-difluorocyclopentane",13.80168945,3283.67164284,-47.52931011,51.11723093,-6892.46400396,0.0,0.0,-5.03546564,123610.0,-2.0,1.08655929,0.16216962,405.0970166891744,
"PVAP_(2,2,2-trifluoro-1-hydroxyethyl)-2,2,2-trifluoroacetate.tab","(2,2,2-trifluoro-1-hydroxyethyl)-2,2,2-trifluoroacetate",13.94475761,3274.16860704,-65.35788085,50.27122948,-6528.02182394,0.0,0.0,-4.93789537,-32240.15299256,-2.0,1.62199443,0.21708676,416.42153112525006,
PVAP_(2-aminoethoxy)trimethylsilane.tab,(2-aminoethoxy)trimethylsilane,14.97686772,3452.77877286,-66.72253351,66.07943695,-8168.8074307,0.0,0.0,-6.92751848,75258.40462879,-2.0,0.88742474,0.24936354,400.0494879195992,
"PVAP_(2-chloro-1,1,2,2-tetrafluoroethyl)-2,2,2-trifluoroacetate.tab","(2-chloro-1,1,2,2-tetrafluoroethyl)-2,2,2-trifluoroacetate",14.20688861,2752.75028733,-51.55068695,59.30867021,-7153.76689667,0.0,0.0,-6.0810509,211350.0,-2.0,1.611296,0.25607796,338.6377570803307,
PVAP_(2-methoxyethyl)(trimethyl)silane.tab,(2-methoxyethyl)(trimethyl)silane,15.29772011,3383.534171,-54.61796794,76.09067116,-9304.34068448,0.0,0.0,-8.19818362,287320.0,-2.0,0.79314014,0.27693817,371.4464704379743,
PVAP_(2-methyl-1-propenyl)benzene.tab,(2-methyl-1-propenyl)benzene,14.99314042,4302.612677,-45.21992202,74.00503521,-10101.97363728,0.0,0.0,-7.95060229,280990.0,-2.0,0.88181629,0.2489504,459.9372824839984,
