Temperature (°C),Phase 1 x(1) input,Phase 1 x(2) input,Phase 1 x(3) input,Phase 2 x(1) input,Phase 2 x(2) input,Phase 2 x(3) input,Compound 1,COSMO_name,Compound 3,Phase 1 x(1) output,Phase 1 x(2) output,Phase 1 x(3) output,Phase 2 x(1) output,Phase 2 x(2) output,Phase 2 x(3) output,SMILES,KV
20.0,0.999,0,0.0010033,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.99668792,0.00233311,0.00097896,0.00284577,0.99712938,2.4844e-05,ClCCCl,0.02537795211244586
20.0,0.998,0,0.0020129,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.99566543,0.00237041,0.00196416,0.00285363,0.99709659,4.9777e-05,ClCCCl,0.025342640110785273
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.99359922,0.00244749,0.00395329,0.00287126,0.99702861,0.00010013,ClCCCl,0.025328270883239027
20.0,0.9897,0,0.0103,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.98722928,0.00269512,0.0100756,0.0029219,0.99682377,0.00025433,ClCCCl,0.025242169200841633
20.0,0.9787,0,0.0213,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.97600188,0.00317441,0.02082372,0.00301044,0.99646486,0.0005247,ClCCCl,0.02519722700843077
20.0,0.9669,0,0.0331,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.96393635,0.00375379,0.03230986,0.00310111,0.99608432,0.00081457,ClCCCl,0.025211189401625384
20.0,0.9543,0,0.0457,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.95093324,0.00445751,0.04460926,0.00319284,0.99568065,0.00112651,ClCCCl,0.025252828672791258
20.0,0.9407,0,0.0593,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.93687969,0.00531562,0.05780469,0.00328937,0.99524446,0.00146616,ClCCCl,0.025364031880458143
30.0,0.999,0,0.0010033,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.99655588,0.00247765,0.00096647,0.00416425,0.99579727,3.8479e-05,ClCCCl,0.03981396215092036
30.0,0.998,0,0.0020129,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.9955432,0.00251767,0.00193914,0.00417885,0.99574403,7.7118e-05,ClCCCl,0.03976917602648597
