COSMO_name,Molecule name,COSMO calculational method,CAS number,Molecular Weight,Sum Formula,file_name,SMILES
"((1,1-dimethylethoxy)methyl)oxirane","OXIRANE,(1,1-DIMETHYLETHOXY)METHYL-",BP-TZVP,007665-72-7,130.19,C7H14O2,,O1[C@@H](COC(C)(C)C)C1
((1-methylethyl)thio)benzene,,,,,,,S(C(C)C)c1ccccc1
"(+)-(1'r,2's,4's)-(e)-beta-santalol",,,,,,,C1C[C@@H]2C(=C)[C@]([C@H]1C2)(CC/C=C(/CO)\C)C
"(+)-(1'r,2's,4's)-beta-santalol",,,,,,,[C@@]1(C(=C)[C@H]2CC[C@@H]1C2)(CC/C=C(/C)\CO)C
"(+)-(1'r,3's,6's)-3'-methyl-norlimbanol",,,,,,,[C@H]1([C@H](CC[C@@H](C1(C)C)C)C)CC[C@@H](CCC)O
(+)-(14r)-14-methyl-15-pentadecanolide,,,,,,,C1CCCCC[C@H](COC(=O)CCCCCC1)C
"(+)-(1r,2r)-2-tert-butylcyclohexyl_acetate",,,,,,,C(=O)(C)O[C@@H]1CCCC[C@@H]1C(C)(C)C
"(+)-(1r,2s,2'r,4r)-2'-isopropyl-1,7,7-trimethylspiro(bicyclo(2_2_1)heptane-2,4'-(1,3)dioxane)",,,,,,,C1[C@]2([C@]3(C[C@@H](C1)C2(C)C)CCO[C@H](O3)C(C)C)C
"(+)-(1r,3r)-3-methylcyclopentadecanol",,,,,,,C1[C@H](C[C@@H](CCCCCCCCCCC1)C)O
"(+)-(1r,3r,4ar,9as)-magnolan",,,,,,,O1[C@H](O[C@@H]2[C@H]([C@H]1C)Cc1ccccc21)C
"(+)-(1r,3r,4as,9ar)-magnolan",,,,,,,O1[C@H](O[C@H]2[C@@H]([C@H]1C)Cc1ccccc21)C
"(+)-(1s,1'r)-rosamusk",,,,,,,C1(CCC[C@H](C1)[C@@H](OC(=O)C)C)(C)C
"(+)-(1s,2r)-2-heptylcyclopropanecarboxylicacid",,,,,,,[C@H]1([C@@H](C1)CCCCCCC)C(=O)O
"(+)-(1s,2r)-georgywood",,,,,,,C1CCC2=C(C1(C)C)[C@@H]([C@](CC2)(C)C(=O)C)C
"(+)-(1s,2r,2'r,4s)-1,2',7,7-tetramethyl-spiro(bicyclo(2_2_1)heptane-2,4'-(1,3)dioxane)",,,,,,,C1C[C@@]2([C@@]3(C[C@H]1C2(C)C)CCO[C@H](O3)C)C
"(+)-(1s,2r,2'r,4s)-2'-isopropyl-1,7,7-trimethylspiro(bicyclo(2_2_1)heptane-2,4'-(1,3)dioxane)",,,,,,,C1C[C@@]2([C@@]3(C[C@H]1C2(C)C)CCO[C@H](O3)C(C)C)C
"(+)-(1s,3r)-3-methylcyclopentadecanol",,,,,,,C1[C@@H](C[C@@H](CCCCCCCCCCC1)C)O
"(+)-(1s,3r,6r,8r)-8-tertbutylbicyclodecan-3-ol",,,,,,,[C@@H]12[C@H](C[C@@H](CC1)O)CC[C@H](C2)C(C)(C)C
"(+)-(1s,4r,5r,9s)-1-hydroxy-1,4,7,7,9-pentamethylspiro(4_5)decan-2-one",,,,,,,[C@]1(C(=O)C[C@H]([C@]21CC(C[C@@H](C2)C)(C)C)C)(C)O
